name,pos,prediction,confidence_score
Richarlison de Andrade,FWD,2:return,0.752
Salomón Rondón,FWD,1:no,0.991
Lewis Dobbin,FWD,1:no,0.999
Cenk Tosun,FWD,1:no,0.999
Kelechi Iheanacho,FWD,1:no,0.882
Patson Daka,FWD,1:no,0.98
Rodrigo Moreno,FWD,2:return,0.844
Sam Greenwood,FWD,1:no,0.971
Joe Gelhardt,FWD,1:no,0.989
Divock Origi,FWD,1:no,0.996
Gabriel Fernando de Jesus,FWD,1:no,0.687
Liam Delap,FWD,1:no,0.998
Cristiano Ronaldo dos Santos Aveiro,FWD,2:return,0.743
Cristiano Ronaldo dos Santos Aveiro,FWD,2:return,0.743
Chris Wood,FWD,1:no,0.961
Dwight Gayle,FWD,1:no,0.998
Allan Saint-Maximin,FWD,1:no,0.978
Joelinton Cássio Apolinário de Lira,FWD,1:no,0.918
Teemu Pukki,FWD,2:return,0.932
Che Adams,FWD,1:no,0.786
Armando Broja,FWD,1:no,0.941
Shane Long,FWD,1:no,0.998
Adam Armstrong,FWD,1:no,0.995
Harry Kane,FWD,2:return,0.898
Dane Scarlett,FWD,1:no,0.998
João Pedro Junqueira de Jesus,FWD,1:no,0.986
Emmanuel Dennis,FWD,1:no,0.902
Joshua King,FWD,1:no,0.997
Michail Antonio,FWD,1:no,0.711
Raúl Jiménez,FWD,1:no,0.982
Fabio Silva,FWD,1:no,0.951
Hee-Chan Hwang,FWD,1:no,0.988
