influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
12,12.7,9,3.4,TRUE,0.036126785,0.500260234,2.03041,10,5.75,2
1.2,25.8,67,9.4,TRUE,1.136007547,0.717220187,0.962374,5,1.5,-1
13,6.2,32,5.1,TRUE,0.048252206,0,0.819233,4,2.75,2
0.2,11.9,3,1.5,FALSE,0.04898262,0.013065355,1.89569,9,5,5
53.8,12.9,36,10.3,TRUE,0.199913085,0.549262583,0.444099,6,3.75,12
2.6,2.2,11,1.6,FALSE,0.011632134,0,2.68125,3,2.5,2
69.6,3.9,94,16.8,TRUE,1.352954268,0,0.749296,1,4.25,12
14.2,16.3,6,3.7,FALSE,0,0.056428973,4.61208,5,3.75,2
4.8,15.7,47,6.8,TRUE,0.629460633,0.124584056,2.24579,6,7,1
1.4,1.8,0,0.3,TRUE,0,0,1.40441,4,1,2
6.6,2.4,35,4.4,TRUE,0.16843152,0,1.38719,7,5,2
18.8,32.4,120,17.1,TRUE,0.72883451,0.560536981,0.315616,3,7,2
7.6,0.8,30,3.8,TRUE,0.194492966,0,3.56828,10,1.75,2
4,8.6,28,4.1,FALSE,0.086684115,0,1.24043,10,3,2
6.8,20.8,56,8.4,FALSE,0.131454974,0.016543787,0.405172,4,4.75,2
6.8,16.2,43,6.6,TRUE,0.432931334,0.092113078,0.520382,1,4,2
37.4,19.3,80,13.7,FALSE,0.9234308,0.562492967,0.589496,2,3,6
38.4,4.9,67,11,TRUE,0.312399149,0,0.766224,2,5,6
6.6,4.8,16,2.7,FALSE,0.06556271,0,4.14588,10,5.5,1
22.8,24.8,34,8.2,TRUE,0.094104506,0.462169528,2.05947,9,2.75,5
8,2.8,24,3.5,TRUE,0.142139882,0,1.84971,8,6,1
8.4,5.4,12,2.6,FALSE,0,0,1.7986,1,1.25,2
109.8,22.8,123,25.6,FALSE,1.946350217,0.147660866,0.159735,7,4.25,17
33.2,4.3,23,6.1,TRUE,0.558211625,0,2.15281,10,2.75,8
56.4,13.8,62,13.2,FALSE,0.196490705,0.073205173,1.13104,8,7,11
87,18.5,44,15,TRUE,0.846802175,0.300116748,0.334896,5,2.25,16
6.6,1,55,6.3,TRUE,0.461685717,0,1.25546,5,2.25,2
0,2.5,6,0.6,FALSE,0.448459983,0,2.84978,9,3,1
11,5,44,6,FALSE,0.503998458,0,0.692644,1,1,2
21.2,31.8,11,6.4,FALSE,0.046781152,0.490401089,1.14216,10,3.25,5
7.6,23,87,11.8,TRUE,0.390930831,0.0666769,0.834423,8,8,1
9.8,21.3,28,5.9,TRUE,0.148162887,0.625314534,0.123075,3,4.25,2
0.8,15.9,9,2.6,FALSE,0.127770334,0.13512364,1.37242,7,1.25,2
10.6,13.1,9,3.3,TRUE,0.052234903,0,3.41021,10,3,2
1.6,1.7,14,1.7,TRUE,0.083089948,0,2.17717,4,1.25,2
10.2,53.2,32,9.5,TRUE,0.095939375,0.48410359,0.59971,7,5.75,2
35.8,27.8,66,13,TRUE,0.615078807,0.36448437,1.87596,4,1,7
0,3.9,10,1.4,TRUE,0,0,1.84104,8,3.5,2
92.4,7.5,108,20.8,TRUE,2.371998072,0,0.591118,2,5.25,17
3.4,2.6,8,1.4,FALSE,0.319355994,0,1.43009,4,4.25,2
0,4.6,25,2.4,TRUE,0.117176704,0,0.405775,7,1.25,2
8,8.1,28,4.4,FALSE,0.043580998,0,3.06422,9,3.25,2
10.2,34,29,7.3,FALSE,0.086228922,0.101952173,3.08413,9,0.25,1
7.6,15.2,59,8.2,FALSE,0.283071488,0.119172752,1.39429,1,4.25,2
1.8,14.1,28,4.4,TRUE,0.354045898,0.0508807,1.09586,10,3.5,2
8.2,15.3,53,7.7,TRUE,0.31899929,0.017261261,0.630058,3,1,2
38.4,4,59,10.1,TRUE,0.921452463,0,0.917801,8,1.5,8
37.8,19.4,21,7.8,FALSE,0.565050483,0.087533519,1.17794,4,3.25,7
17.2,19.8,22,5.9,TRUE,0.043828018,0.356667429,0.789667,6,9.5,2
69.6,27.3,45,14.2,TRUE,0.496332169,0.092036434,1.61843,1,1.25,12
4.8,14.1,34,5.3,TRUE,0.189621314,0.020756289,1.62514,9,2,2
42.8,21.9,83,14.8,FALSE,0.448235929,0.107964911,2.37332,3,2.75,6
27.8,35.2,27,9,FALSE,0.13358435,0.661724746,0.445301,2,1.25,5
43.4,15.2,48,10.7,TRUE,0.692647576,0,1.28248,5,1.5,8
11.6,23.9,93,12.9,TRUE,0.530119777,0.058040682,0.612933,4,9,2
41.2,12.2,28,8.1,TRUE,0.42442587,0,0.226625,3,0.75,7
9.4,12.6,28,5,TRUE,0.047528949,0.029484028,1.61843,9,4.75,2
42.4,8.8,113,16.4,TRUE,1.235451102,0,0.965283,4,5.25,6
42,9.8,26,7.8,TRUE,0.27307725,0,1.34294,5,1,6
9.6,40.1,12,6.2,FALSE,0,0.088937305,0.822285,5,3.5,2
14.8,2.6,36,5.3,FALSE,0.436252475,0,1.80971,5,2.25,2
49.4,14.4,25,8.9,TRUE,0.3021833,0.096731931,1.00956,8,3.75,12
20.6,23.4,35,7.9,TRUE,1.076755524,0.136411592,0.907849,7,2.5,5
5.6,4.4,21,3.1,FALSE,0.371667594,0,0.822285,5,1,2
10.6,23.1,32,6.6,FALSE,0.100457154,0.123284787,1.38478,1,3.25,2
83.6,11.9,90,18.6,TRUE,1.375464559,0.08529456,0.290345,7,5.25,13
57.6,37.4,31,12.6,TRUE,0.200536355,0.319627494,0.722959,10,4.5,8
24.6,41.3,25,9.1,FALSE,0.0975926,0.207703739,1.01595,9,2.75,5
12.6,3.1,73,8.9,FALSE,0.21274431,0,1.67369,4,2.5,2
50.8,27.9,121,20,TRUE,0.760271311,0.177796528,0.501202,5,3.5,8
