influence,creativity,threat,ict_index,was_home,xG,xA,xGC,fixture,form,total_points
33.6,0,0,3.4,1,0,0,0.88211,6,2.25,6
38,0,0,3.8,1,0,0,0.920963,7,1.25,9
59,0,0,5.9,0,0,0,2.80988,8,0.5,5
21.4,0,0,2.1,1,0,0,2.02239,9,1.5,2
17.4,0,0,1.7,1,0,0,1.85433,8,3,2
18.6,0,0,1.9,0,0,0,1.94599,4,1.5,8
7,0,0,0.7,1,0,0,0.144498,7,5.5,2
22.2,0,0,2.2,0,0,0,0.270441,9,2,8
4.2,10,0,1.4,1,0,0.344677418,1.03126,3,4.75,2
29.2,0,0,2.9,0,0,0,1.30365,6,5.75,3
25.4,0,0,2.5,0,0,0,2.29543,4,3.5,2
18.4,0,0,1.8,0,0,0,3.11573,10,2.75,2
8.2,0,0,0.8,1,0,0,0.587572,1,1.75,6
25.4,0,0,2.5,0,0,0,3.50519,8,2,2
73.2,0,0,7.3,0,0,0,4.21181,7,3.25,5
9.8,0,0,1,1,0,0,0.808339,1,3.25,6
10.2,0,0,1,1,0,0,0.563752,7,5.5,2
13.4,0,0,1.3,0,0,0,2.25192,10,3.5,0
16.2,0,0,1.6,0,0,0,1.15321,9,5.25,1
12.2,0,0,1.2,0,0,0,0.523371,6,5,6
13.2,0,0,1.3,0,0,0,1.19585,5,3.25,2
34.6,0,0,3.5,1,0,0,1.656,4,2.75,3
15,0,0,1.5,0,0,0,0.701606,2,3.25,6
10.6,0,0,1.1,1,0,0,0.478578,2,2,6
44,0,0,4.4,1,0,0,0.752795,7,4,4
10.6,0,0,1.1,1,0,0,0.62654,4,3.25,6
1,0,0,0.1,1,0,0,0.406196,2,3.75,6
21.6,0,0,2.2,0,0,0,0.720574,7,0,3
5.8,0,0,0.6,0,0,0,2.63853,10,0,0
29.8,0,0,3,0,0,0,0.988934,5,0,9
7,0,0,0.7,1,0,0,0.27644,1,2.75,6
39.2,0,0,3.9,0,0,0,2.54329,8,3.5,2
10.6,0,0,1.1,0,0,0,2.21748,2,2.75,6
18.4,0,0,1.8,0,0,0,1.35651,8,4.5,2
22.8,0,0,2.3,1,0,0,1.73657,3,0,2
23.6,0,0,2.4,1,0,0,1.08708,9,4.25,9
10.4,0,0,1,0,0,0,1.50533,3,3.75,2
25.2,0,0,2.5,0,0,0,0.943496,10,6.25,2
0.6,0,0,0.1,0,0,0,1.13448,4,0.75,6
52.6,0,0,5.3,0,0,0,2.91672,5,0,3
59.2,0,0,5.9,0,0,0,2.14257,9,9,8
9.8,0,0,1,0,0,0,1.36768,6,4,1
14.8,0,0,1.5,1,0,0,0.575236,7,4,6
27.8,0,0,2.8,0,0,0,2.37777,8,4,2
46.6,0,0,4.7,0,0,0,1.8417,8,5.75,4
1.4,0,0,0.1,1,0,0,0.137743,7,2.75,2
14.2,0,0,1.4,1,0,0,1.39563,6,2.25,1
26.4,0,0,2.6,1,0,0,2.8773,9,0.75,1
19,0,0,1.9,1,0,0,0.382005,1,8.5,8
3,10,0,1.3,1,0,0.043553364,2.05534,4,2.75,1
39,11,0,5,0,0,0.05652969,1.22988,1,3.25,2
10.4,0,0,1,1,0,0,0.874927,3,4,2
21,0,0,2.1,0,0,0,0.789259,2,2.25,8
27.4,0,0,2.7,1,0,0,1.10222,5,0,9
32.8,0,0,3.3,0,0,0,2.06277,9,2.75,2
24.4,0,0,2.4,0,0,0,2.24246,8,3.75,2
24.2,0,0,2.4,0,0,0,1.24547,4,1,2
14,0,0,1.4,0,0,0,1.38782,5,8.333333333,0
27.4,10,0,3.7,0,0,0.011114573,2.02983,5,2.5,2
19.6,0,0,2,1,0,0,2.40056,10,3.25,1
9.4,0,0,0.9,0,0,0,0.490058,3,1.5,1
39,0,0,3.9,0,0,0,1.5427,7,4,3
11.8,10,0,2.2,1,0,0.118219398,0.431402,2,4.25,8
13.8,0,0,1.4,1,0,0,0.565072,3,5.5,6
6.6,0,0,0.7,1,0,0,0.147724,7,3,2
11.2,0,0,1.1,1,0,0,0.71711,1,2.75,2
5.6,0,0,0.6,1,0,0,0.453851,6,1.5,2
25.8,0,0,2.6,1,0,0,2.66178,10,6.25,2
8.8,0,0,0.9,0,0,0,1.97034,2,2.5,0
24.6,0,0,2.5,0,0,0,0.775297,4,2.75,3
25.4,0,0,2.5,0,0,0,1.48339,5,0.25,2
38.4,0,0,3.8,1,0,0,0.449075,5,3.25,9
6.2,0,0,0.6,1,0,0,1.75184,8,6.25,2
17.2,0,0,1.7,1,0,0,0.628292,1,0.5,2
11.6,0,0,1.2,0,0,0,1.29277,4,5.5,1
60.8,0,0,6.1,0,0,0,1.64952,10,2,5
7.4,0,0,0.7,0,0,0,0.924575,6,1.5,1
24,0,0,2.4,0,0,0,1.76497,7,2,5
7.6,0,0,0.8,0,0,0,4.47889,8,4.5,0
41.2,0,0,4.1,1,0,0,1.03658,4,1,13
18.8,0,0,1.9,0,0,0,0.845327,1,0,1
27.4,0,0,2.7,1,0,0,2.50552,9,3,2
29.4,0,0,2.9,1,0,0,2.58757,9,0.75,2
61.8,0,0,6.2,0,0,0,2.30012,8,4,5
10.2,0,0,1,0,0,0,0.915088,5,6.75,2
23.6,0,0,2.4,0,0,0,0.475162,3,0.5,9
35.2,0,0,3.5,0,0,0,2.45603,10,0,2
80.8,0,0,8.1,0,0,0,4.24057,8,3.5,8
33,0,0,3.3,0,0,0,1.11195,5,2.75,3
6.4,0,0,0.6,0,0,0,0.352672,4,1.25,2
10.6,0,0,1.1,1,0,0,0.320601,2,0.25,3
16.8,0,0,1.7,0,0,0,0.820024,7,2.5,1
21,0,0,2.1,1,0,0,0.223429,3,4,9
49.6,0,0,5,0,0,0,3.07794,8,0.25,3
35.4,0,0,3.5,1,0,0,0.789388,7,2,10
10,0,0,1,0,0,0,1.24743,1,4.75,1
16.2,0,0,1.6,0,0,0,1.61269,6,5,2
13.2,0,0,1.3,1,0,0,1.18891,8,0.5,5
38.6,0,0,3.9,1,0,0,2.03041,10,4.5,2
37,0,0,3.7,1,0,0,0.608352,8,3,3
14,0.1,0,1.4,1,0,0,0.749296,1,1.75,2
48.6,0,0,4.9,0,0,0,4.01925,9,0.75,2
12.6,0,0,1.3,1,0,0,0.273809,3,0.75,6
14.8,0,0,1.5,0,0,0,1.89569,9,6,2
21.6,0,0,2.2,1,0,0,0.444099,6,1,2
5.6,0,0,0.6,1,0,0,0.25228,1,4.5,6
19,0,0,1.9,1,0,0,0.819233,4,3.5,6
18.8,0,0,1.9,1,0,0,1.02186,8,1.75,8
42.4,0,0,4.2,1,0,0,0.815792,5,4.25,11
24.8,0,0,2.5,1,0,0,2.24579,6,3.25,1
31.2,0,0,3.1,1,0,0,0.315616,3,1.75,9
5.4,0,0,0.5,0,0,0,0.360081,7,1.25,2
21,0,0,2.1,1,0,0,1.8707,8,2.25,1
21.8,0,0,2.2,1,0,0,1.38719,7,1.5,3
18.4,0,0,1.8,0,0,0,1.11749,2,4,3
