ID,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
6765,0.00455809,0.014974711,1.47427525,8.75,6.825,1.25,1.7,10,0,1.75,1,no
6769,0.246053968,0.005089863,0.88835275,12.3,6.175,23.5,4.175,2,1,3.5,1,no
6778,0.081250998,0,1.34727025,1.65,0.325,6.5,0.875,8,1,0.75,1,no
6789,0.051771251,0.010435426,1.133816,4.8,4.3,7,1.6,2,0,1.25,1,no
6792,0.41249992,0.222298533,2.0073625,20.85,10.4,31.75,6.225,10,1,4.75,1,no
6796,0.126331513,0.092564601,1.22760775,15.2,20.55,15.5,5.1,1,0,2.5,1,no
6798,0.036597716,0.010144643,1.577546,4.15,6.525,2.5,1.325,3,0,1.5,1,no
6800,0.181746897,0.210227539,1.842875,18.7,20.575,27.75,6.7,10,1,3.75,1,no
6805,0.007633309,0,2.027,5.15,1.05,0.25,0.65,4,0,1.25,1,no
6806,0.172218866,0.017595537,1.72953425,14.4,8.7,26.5,4.95,7,0,3.25,1,no
6809,0,0,2.43812,2.333333333,0.266666667,0.666666667,0.333333333,5,0,1,1,no
6810,0.081972239,0.254811838,1.3197535,17.55,24.425,16.25,5.8,8,1,2.75,1,no
6814,0.280221507,0.201402557,1.42421225,20.6,28.05,22.5,7.1,5,1,3.5,1,no
6818,0.002587802,0.020893769,1.13436975,2.7,3.725,1.75,0.8,8,1,1.25,1,no
6820,0.173061478,0.002499201,1.75459475,7.35,6.5,18,3.175,8,1,1.75,1,no
6821,0.034009203,0.097686582,0.9699415,1.9,9.4,8.5,1.975,2,0,1,1,no
6833,0.105683099,0,1.01074975,1.85,1.4,7.75,1.025,2,0,1,1,no
6834,0.365404889,0.152385307,1.28791825,17.6,22.875,20,6.05,1,0,5,1,no
6836,0.095486477,0.056173608,1.33360725,7.1,9.05,20.75,3.725,8,1,1.5,1,no
6839,0.0596352,0,1.2589655,21.3,0.9,15.5,3.8,10,0,2.5,1,no
6841,0.053891059,0.011106149,0.73653475,18.7,10.35,8.5,3.75,2,0,3.75,1,no
6845,0.068381287,0.054620186,0.833654,6.45,13.675,18,3.8,5,1,1,1,no
6846,0.190776496,0.099645,2.25507,13.4,19.7,20.25,5.35,10,0,2,1,no
6847,0.851190567,0.740671739,1.42421225,31.7,47.3,72.5,15.15,5,1,6.25,1,no
6853,0.225662689,0.10731484,1.5338805,9.4,7.45,41.25,5.825,8,1,2.5,1,no
6861,0.257467194,0.088500133,0.60355175,13.9,16.125,28.75,5.875,5,0,2.25,1,no
6862,0.103432179,0.014551979,0.78410225,4.1,4.725,22,3.075,10,1,1,1,no
6868,0.269795287,0.143394846,1.611151,38.4,9.4,38.75,8.65,7,1,7.25,1,no
6870,0.126331513,0.079728043,1.39901075,13.85,16.45,14,4.425,4,1,2.5,1,no
6872,0.00718124,0.010144643,1.6575585,4.5,5.8,1,1.125,2,1,1.25,1,no
6874,0.026630599,0.03285509,1.236934,13.25,12.25,4.75,3.025,9,0,2,1,no
6878,0,0.039068867,1.008321,5.4,6.925,1,1.35,7,1,1.5,1,no
6879,0.007633309,0.067863822,1.831155,4.7,3.55,0.25,0.85,7,1,1.25,1,no
6880,0.343806437,0.082436725,1.61380925,16.8,20.575,45.25,8.275,2,1,3.25,1,no
6886,0.006789891,0.219710611,1.87727,14.75,6.55,2.25,2.375,2,1,2,1,no
6891,0.28692168,0.08833909,0.917098175,16.15,7.3,5.5,2.9,10,1,3.5,1,no
