,season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
61,2016-17,Héctor Bellerín,DEF,,0,0,9,0,6.8,6,8,4,0,2.8,19.6,2016-08-14T15:00:00Z,90,9,Liverpool,0,0,0,0,1,0,950852,4,3,2,0,0,0,0,65,TRUE,0,1
62,2016-17,Ilkay Gündogan,MID,,0,0,0,0,0,236,5,0,0,0,0,2016-08-13T16:30:00Z,0,15,Sunderland,0,0,0,0,1,0,21411,1,2,0,0,0,0,0,55,TRUE,0,1
63,2016-17,Jack Butland,GK,,0,0,0,0,0,316,6,0,0,0,0,2016-08-13T14:00:00Z,0,12,Middlesbrough,0,0,0,0,1,0,172438,1,1,0,0,0,0,0,50,FALSE,0,1
64,2016-17,Jack Cork,MID,,0,0,18,1,33.4,367,1,0,0,5.8,17,2016-08-13T14:00:00Z,90,3,Burnley,0,0,0,0,1,0,4204,1,0,8,3,0,0,0,50,FALSE,0,1
65,2016-17,Jack Stephens,DEF,,0,0,0,0,0,504,7,0,0,0,0,2016-08-13T14:00:00Z,0,18,Watford,0,0,0,0,1,0,11659,1,1,0,0,0,0,0,40,TRUE,0,1
66,2016-17,Jack Wilshere,MID,,0,0,0,0,0,17,8,0,0,0,0,2016-08-14T15:00:00Z,0,9,Liverpool,0,0,0,0,1,0,5677,4,3,0,0,0,0,0,60,TRUE,0,1
67,2016-17,Jake Livermore,MID,,0,0,13,0,0,157,4,1,0,2.5,25.4,2016-08-13T11:30:00Z,90,8,Leicester,0,0,0,0,1,0,4169,1,2,0,2,0,0,0,50,TRUE,0,1
68,2016-17,James McArthur,MID,,0,0,0,0,0,114,2,0,0,0,0,2016-08-13T14:00:00Z,0,19,West Bromwich Albion,0,0,0,0,1,0,979,1,0,0,0,0,0,0,50,TRUE,0,1
69,2016-17,James McCarthy,MID,,0,0,11,0,2.1,136,3,1,0,2.4,21.4,2016-08-13T14:00:00Z,90,17,Tottenham,0,0,0,0,1,0,11237,1,1,0,2,0,0,0,50,TRUE,0,1
70,2016-17,James Milner,MID,,0,0,0,0,0,208,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,27989,4,3,0,0,0,0,0,65,FALSE,0,1
71,2016-17,James Tarkowski,DEF,,0,0,0,0,0,59,1,0,0,0,0,2016-08-13T14:00:00Z,0,16,Swansea,0,0,0,0,1,0,45073,1,0,0,0,0,0,0,40,TRUE,0,1
72,2016-17,James Tomkins,DEF,,0,0,0,0,0,103,2,0,0,0,0,2016-08-13T14:00:00Z,0,19,West Bromwich Albion,0,0,0,0,1,0,2891,1,0,0,0,0,0,0,50,TRUE,0,1
73,2016-17,James Ward-Prowse,MID,,0,0,8,0,14.3,306,7,1,0,2.2,5,2016-08-13T14:00:00Z,54,18,Watford,0,0,0,0,1,0,12530,1,1,3,1,0,0,0,55,TRUE,0,1
74,2016-17,Jamie Vardy,FWD,,0,0,1,0,22.5,184,4,2,0,5.8,3.2,2016-08-13T11:30:00Z,90,7,Hull,0,0,0,0,1,0,864018,1,2,32,2,0,0,0,100,FALSE,0,1
75,2016-17,Jarrod Bowen,MID,,0,0,0,0,0,516,4,0,0,0,0,2016-08-13T11:30:00Z,0,8,Leicester,0,0,0,0,1,0,0,1,2,0,0,0,0,0,45,TRUE,0,1
76,2016-17,Jay Rodriguez,FWD,,0,0,0,0,0,311,7,0,0,0,0,2016-08-13T14:00:00Z,0,18,Watford,0,0,0,0,1,0,17749,1,1,0,0,0,0,0,65,TRUE,0,1
77,2016-17,Jeffrey Schlupp,MID,,0,0,0,0,0,169,4,0,0,0,0,2016-08-13T11:30:00Z,0,7,Hull,0,0,0,0,1,0,18404,1,2,0,0,0,0,0,50,FALSE,0,1
78,2016-17,Jesse Lingard,MID,,0,0,0,0,0,266,9,0,0,0,0,2016-08-14T12:30:00Z,0,2,Bournemouth,0,0,0,0,1,0,37371,3,1,0,0,0,0,0,60,FALSE,0,1
79,2016-17,Joel Matip,DEF,,0,0,0,0,0,199,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,63135,4,3,0,0,0,0,0,55,FALSE,0,1
80,2016-17,Joel Ward,DEF,,0,0,5,0,3.3,105,2,1,0,1.6,4.8,2016-08-13T14:00:00Z,90,19,West Bromwich Albion,0,0,0,0,1,0,39093,1,0,8,2,0,0,0,50,TRUE,0,1
81,2016-17,Joe Hart,GK,,0,0,0,0,0,218,5,0,0,0,0,2016-08-13T16:30:00Z,0,15,Sunderland,0,0,0,0,1,0,200797,1,2,0,0,0,0,0,55,TRUE,0,1
82,2016-17,Johann Berg Gudmundsson,MID,,0,0,1,0,1.2,473,1,1,0,1,1,2016-08-13T14:00:00Z,16,16,Swansea,0,0,0,0,1,0,11259,1,0,8,1,0,0,0,55,TRUE,0,1
83,2016-17,John Stones,DEF,,0,0,15,0,2.8,128,5,1,0,1.7,12.4,2016-08-13T16:30:00Z,90,15,Sunderland,0,0,0,0,1,0,1062693,1,2,2,2,0,0,0,50,TRUE,0,1
84,2016-17,Jonathan Leko,MID,,0,0,0,0,0,445,2,0,0,0,0,2016-08-13T14:00:00Z,0,5,Crystal Palace,0,0,0,0,1,0,14668,1,0,0,0,0,0,0,45,FALSE,0,1
85,2016-17,Jonny Evans,DEF,,0,0,20,1,1,431,2,0,0,1.5,13.6,2016-08-13T14:00:00Z,90,5,Crystal Palace,0,0,0,0,1,0,265977,1,0,0,5,0,0,0,45,FALSE,1,1
86,2016-17,Jordan Henderson,MID,,0,0,16,0,28.9,201,8,3,0,5.2,15,2016-08-14T15:00:00Z,90,1,Arsenal,0,0,0,0,1,0,31153,4,3,8,2,0,0,0,65,FALSE,0,1
87,2016-17,Jordan Pickford,GK,,0,0,0,0,0,340,5,0,0,0,0,2016-08-13T16:30:00Z,0,10,Manchester City,0,0,0,0,1,0,303061,1,2,0,0,0,0,0,40,FALSE,0,1
88,2016-17,Joseph Gomez,DEF,,0,0,0,0,0,195,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,1039,4,3,0,0,0,0,0,50,FALSE,0,1
