influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
40.6,36.3,25,10.2,TRUE,0.233412519,0.170537189,1.29401,4,5,10
15.6,10.7,1,2.7,TRUE,0.020112481,0,0.212574,6,3.75,2
0.6,2.3,8,1.1,TRUE,0.022898447,0,0.493941,1,2.25,2
9.2,6.1,35,5,TRUE,0.226532951,0,0.720341,10,4.25,2
28.8,13.8,25,6.8,TRUE,0.207963139,0.801879883,0.970372,9,6,4
47.6,49.9,21,11.9,TRUE,0.761168838,0.182937488,1.50059,4,5,10
31.2,61.9,44,13.7,TRUE,0.074715912,0.304544121,0.64998,5,8.25,8
42.8,7.1,146,19.6,TRUE,0.437879443,0,1.29401,4,4,7
65,42.6,47,15.5,FALSE,0.146357954,0.35803473,2.16649,2,6,16
12.2,15.5,4,3.2,TRUE,0,0.038515955,2.13526,9,1.25,2
9.8,18,27,5.5,TRUE,0.07761921,0.018264165,2.13526,9,3,2
15,0.7,0,1.6,TRUE,0,0,0.923353,3,1,3
14.8,7.2,19,4.1,TRUE,0.04846058,0,1.6751,5,1.25,3
14.2,5.8,20,4,FALSE,0.064692654,0,0.161583,1,4,3
0,5.7,9,1.4,FALSE,0.02987832,0,1.67016,5,3.25,1
16.8,19.5,8,4.4,FALSE,0.016127974,0.011632229,0.161583,1,4.5,3
6.8,18.2,14,3.9,FALSE,0.211815506,0.0254198,1.46034,7,6.25,2
12.8,49.4,25,8.7,FALSE,0.097374134,0.639846623,0.64118,6,5.75,2
32,51.7,30,11.4,TRUE,0.136351526,0.459131718,1.3508,8,1,6
14.8,21.6,9,4.5,TRUE,0.057857856,0.059209913,0.602249,3,3,8
17.4,3.9,0,2.1,TRUE,0,0,1.13479,2,1.25,3
4.4,12.8,0,1.7,FALSE,0,0.01711404,1.5186,9,2.25,2
6.2,36.7,20,6.3,FALSE,0.130095437,0.113411076,1.71549,1,6.75,2
14.6,5.8,17,3.7,TRUE,0.057984028,0,1.17031,3,1,2
37.2,20.7,2,6,TRUE,0,0.075921476,1.69451,7,1.25,7
0,5.8,8,1.2,TRUE,0.013773864,0,0.81444,10,4,2
11.6,2.9,0,1.5,FALSE,0,0,1.50755,10,3,2
52,29.2,17,9.8,TRUE,0.761168838,0.088391505,1.13479,2,3,10
3.6,18.3,4,2.6,FALSE,0,0.069173135,1.5186,9,6.25,2
21,31.1,42,9.4,FALSE,0.380714178,0.121677473,0.492912,6,2.25,5
18.6,4.3,0,2.3,FALSE,0,0,0.356331,4,2.25,3
13,15.4,23,5.1,FALSE,0.052660171,0,0.600426,6,5.25,3
8.6,21,19,4.9,FALSE,0.049780089,0.026689814,0.492912,6,1,2
34.6,20.4,50,10.5,TRUE,0.505527854,0.039650925,0.609893,8,2,9
28.4,1.1,28,5.8,FALSE,0.552587271,0,1.5186,9,5.25,7
7.8,6.2,0,1.4,TRUE,0,0,0.81444,10,7.75,2
12,8.8,0,2.1,FALSE,0,0,0.275704,3,3.5,2
