position,influence,creativity,threat,ict_index,minutes,was_home,xG,xA,xGC,Fixture,Form,total_points
DEF,16.4,1.3,8,2.6,90,FALSE,0,0,1.97881,8,0.75,2
DEF,14.6,0.8,10,2.5,90,TRUE,0.009880153,0,1.61035,10,0.75,0
DEF,14.2,2.9,0,1.7,90,TRUE,0,0,0.650942,6,7.75,6
DEF,7.8,3.2,7,1.8,90,TRUE,0.036228653,0,1.25512,7,4,2
DEF,27.6,25.7,9,6.2,90,FALSE,0.12954025,0.114653438,0.403743,7,6.75,4
DEF,12.2,0.3,0,1.3,90,TRUE,0,0,0.650942,6,5.25,6
DEF,21.6,1,0,2.3,90,FALSE,0,0,0.403743,7,2,2
DEF,35.8,25.2,20,8.1,90,FALSE,0.061499745,0.189786017,1.66669,9,3.25,3
DEF,15.2,25.4,4,4.5,90,FALSE,0,0.043539383,0.350069,2,-0.25,3
DEF,11,1.8,0,1.3,90,TRUE,0,0,0.650942,6,5.5,7
DEF,25.4,14.9,4,4.4,90,TRUE,0.085008085,0.0219565,2.22237,9,1.25,1
DEF,11.6,12.9,19,4.4,90,TRUE,0.205027565,0,0.687502,6,2,7
DEF,25.8,1.2,0,2.7,90,FALSE,0,0,0.959496,2,2.25,2
DEF,18.6,0.2,0,1.9,90,FALSE,0,0,1.97881,8,2.75,2
DEF,15.6,20.7,22,5.8,90,FALSE,0.013781618,0.020607255,0.403743,7,6.25,1
DEF,12.8,3.4,2,1.8,90,TRUE,0,0,0.650942,6,6.25,6
DEF,17.2,0.4,1,1.9,90,TRUE,0.015665984,0,0.488541,1,3.75,2
DEF,24,0.7,0,2.5,90,FALSE,0,0,0.959496,2,1,2
DEF,14.4,0.5,0,1.5,90,FALSE,0,0,0.377464,5,0.25,6
