name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Tyler Morton,MID,0,0,0.8158395,0,0,0,0,8,1,0,?
Kaide Gordon,MID,0.491121143,0,0.8158395,0,0,0,0,8,1,0,?
Luis Díaz,MID,0.232967392,0.055628062,0.8158395,11.8,6.625,12,3.05,8,1,2.5,?
Jack Grealish,MID,0.05919996,0.382611247,0.548684075,7.25,28.15,27.5,6.275,6,1,2,?
Ilkay Gündogan,MID,0.284309335,0.165206776,0.548684075,14.25,8.05,11,3.35,6,1,3.25,?
Kevin De Bruyne,MID,0.330166573,0.26745357,0.548684075,49.1,48.9,42,14,6,1,10.25,?
Riyad Mahrez,MID,0.325187139,0,0.548684075,19.35,6.25,39.25,6.4,6,1,4.5,?
Raheem Sterling,MID,0.154315766,0.149490303,0.548684075,10.55,13.05,13.5,3.725,6,1,3.25,?
Bernardo Mota Veiga de Carvalho e Silva,MID,0.259473797,0.134005282,0.548684075,21.65,30.15,21.25,7.325,6,1,3.5,?
Phil Foden,MID,0.214214589,0.03203658,0.548684075,5.15,14.025,30.5,4.975,6,1,2.5,?
Rodrigo Hernandez,MID,0.067098331,0.026219182,0.548684075,15.45,9.825,13.5,3.9,6,1,2.5,?
Fernando Luiz Rosa,MID,0.195286008,0.185924483,0.548684075,0,0,0,0,6,1,0,?
James McAtee,MID,0.044324361,0,0.548684075,0,0,0,0,6,1,0,?
Nemanja Matic,MID,0,0.002293653,1.45043875,6.3,2.2,0,0.85,2,1,1.25,?
Nemanja Matic,MID,0,0.002293653,1.45043875,6.3,2.2,0,0.85,10,0,1.25,?
Paul Pogba,MID,0.024696961,0.011838312,1.45043875,7.7,7.6,7.75,2.3,2,1,2,?
Paul Pogba,MID,0.024696961,0.011838312,1.45043875,7.7,7.6,7.75,2.3,10,0,2,?
Jesse Lingard,MID,0.006679074,0.02215698,1.45043875,0.05,0.075,0,0.025,2,1,0.25,?
Jesse Lingard,MID,0.006679074,0.02215698,1.45043875,0.05,0.075,0,0.025,10,0,0.25,?
Bruno Miguel Borges Fernandes,MID,0.329067845,0.198123884,1.45043875,8.3,17.425,21.25,4.675,2,1,2.25,?
Bruno Miguel Borges Fernandes,MID,0.329067845,0.198123884,1.45043875,8.3,17.425,21.25,4.675,10,0,2.25,?
Marcus Rashford,MID,0.049480665,0,1.45043875,3.65,3.05,14,2.075,2,1,1.5,?
Marcus Rashford,MID,0.049480665,0,1.45043875,3.65,3.05,14,2.075,10,0,1.5,?
Juan Mata,MID,0.089285806,0,1.45043875,1.6,1.725,1.5,0.475,2,1,0.25,?
Juan Mata,MID,0.089285806,0,1.45043875,1.6,1.725,1.5,0.475,10,0,0.25,?
Jadon Sancho,MID,0.062743266,0.274663556,1.45043875,20.95,28.875,19,6.9,2,1,4.5,?
Jadon Sancho,MID,0.062743266,0.274663556,1.45043875,20.95,28.875,19,6.9,10,0,4.5,?
Anthony Elanga,MID,0.022161346,0,1.45043875,4.85,2.075,9.5,1.65,2,1,1.5,?
Anthony Elanga,MID,0.022161346,0,1.45043875,4.85,2.075,9.5,1.65,10,0,1.5,?
Hannibal Mejbri,MID,0,0,1.45043875,0,0,0,0,2,1,0,?
Hannibal Mejbri,MID,0,0,1.45043875,0,0,0,0,10,0,0,?
Jonjo Shelvey,MID,0.010142209,0.136710282,1.423624,5.25,5.875,2.25,1.35,5,1,1.25,?
Jonjo Shelvey,MID,0.010142209,0.136710282,1.423624,5.25,5.875,2.25,1.35,4,1,1.25,?
Jacob Murphy,MID,0.012466664,0.036263916,1.423624,3.2,9.95,2.5,1.55,5,1,1,?
Jacob Murphy,MID,0.012466664,0.036263916,1.423624,3.2,9.95,2.5,1.55,4,1,1,?
Miguel Almirón,MID,0.040172813,0.033588174,1.423624,4.65,10.3,11.75,2.675,5,1,2.25,?
Miguel Almirón,MID,0.040172813,0.033588174,1.423624,4.65,10.3,11.75,2.675,4,1,2.25,?
Sean Longstaff,MID,0.004632341,0,1.423624,0.65,0.2,0.25,0.1,5,1,0.75,?
Sean Longstaff,MID,0.004632341,0,1.423624,0.65,0.2,0.25,0.1,4,1,0.75,?
Lukas Rupp,MID,0.009442316,0,2.26946,1.55,0.95,0.25,0.275,8,0,0.75,?
Kenny McLean,MID,0.169612912,0.030611106,2.26946,19.75,7.675,21.75,4.925,8,0,3.5,?
Kieran Dowell,MID,0,0.057475291,2.26946,3.15,13.525,0,1.675,8,0,1,?
Milot Rashica,MID,0.170116492,0.038542151,2.26946,6.05,14.3,22.5,4.275,8,0,2.25,?
Pierre Lees-Melou,MID,0.022209187,0.04823653,2.26946,12.05,7.8,6.5,2.625,8,0,4.25,?
Christos Tzolis,MID,0.002887167,0.032048807,2.26946,0.05,0.125,0.5,0.075,8,0,0.5,?
