@relation DEF_gameweek_33

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.126929,0.045711,0.927987,10,9.575,20,3.975,6,1,3.25,?
0,0,0.927987,0,0,0,0,6,1,0,?
0.048834,0.024563,0.927987,31.4,7.125,9.75,4.825,6,1,6,?
0.186584,0.062615,0.927987,14.25,12.275,11.25,3.775,6,1,3.75,?
0,0,1.484863,4.3,0.125,0,0.425,4,1,0.25,?
0,0.171732,1.484863,7.15,6.1,0.5,1.4,4,1,1,?
0.016323,0,1.484863,16.45,1.25,2.25,2,4,1,1.5,?
0,0,1.484863,0,0,0,0,4,1,0,?
0.025447,0.04386,1.484863,0,0,0,0,4,1,0,?
0.008098,0,1.484863,0,0,0,0,4,1,0,?
0.008475,0.01332,1.484863,0,0,0,0,4,1,0,?
0,0.014884,1.484863,22.4,6.275,0,2.875,4,1,1,?
0.00631,0.022714,1.484863,11.45,2.625,4.5,1.875,4,1,0.75,?
0.041516,0.051824,1.528762,22.1,16.075,4.5,4.275,1,1,3,?
0.165897,0.086816,1.528762,20.1,3.325,3.25,2.675,1,1,2,?
0,0.029153,1.528762,4.75,4.3,1,1.025,1,1,0.75,?
0,0.185061,1.528762,1.45,1.475,0,0.3,1,1,0,?
0.007009,0.025047,1.528762,6,4.6,0,1.05,1,1,0.25,?
0,0.072958,1.528762,7.05,0.075,0,0.725,1,1,0.5,?
0,0.074832,1.528762,6.2,3.5,0.5,1.025,1,1,0.75,?
0,0,1.528762,0,0,0,0,1,1,0,?
