name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Eric Dier,DEF,0.13513052091002464,0.006629189010709524,0.8107314999999999,16.849999999999998,3.25,14.0,3.425,5,0,2.5,?
Ben Davies,DEF,0.12261253828182817,0.0,0.8107314999999999,18.700000000000003,2.65,10.25,3.1999999999999997,5,0,4.25,?
Davinson Sánchez,DEF,0.01611310988664627,0.0,0.8107314999999999,0.0,0.0,0.0,0.0,5,0,0.0,?
Joe Rodon,DEF,0.0,0.0,0.8107314999999999,0.0,0.0,0.0,0.0,5,0,0.0,?
Cristian Romero,DEF,0.048833683133125305,0.03687023697420955,0.8107314999999999,27.349999999999998,10.575000000000001,10.25,4.800000000000001,5,0,4.75,?
Emerson Aparecido Leite de Souza Junior,DEF,0.1865843441337347,0.03528834506869316,0.8107314999999999,12.35,8.975000000000001,11.25,3.25,5,0,2.5,?
Craig Cathcart,DEF,0.0,0.0,1.5121025000000001,11.100000000000001,0.375,0.0,1.125,3,1,0.5,?
Francisco Femenía Far,DEF,0.0,0.11072006076574326,1.5121025000000001,12.100000000000001,7.575,1.0,2.1,3,1,1.75,?
Christian Kabasele,DEF,0.016322709619998932,0.0,1.5121025000000001,12.850000000000001,1.2249999999999999,1.25,1.525,3,1,1.25,?
William Troost-Ekong,DEF,0.0,0.0,1.5121025000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
Adam Masina,DEF,0.025447032880038023,0.04386041685938835,1.5121025000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
Francisco Sierralta,DEF,0.008098075166344643,0.0,1.5121025000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
Jeremy Ngakia,DEF,0.008474691770970821,0.013319853693246841,1.5121025000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
Hassane Kamara,DEF,0.016320910304784775,0.013245009118691087,1.5121025000000001,22.7,7.4,1.5,3.175,3,1,1.0,?
