name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Frederico Rodrigues de Paula Santos,MID,0.150807506,0.068515487,1.47041125,32.65,20.675,13.75,6.725,3,0,5,?
Jesse Lingard,MID,0.006679074,0.02215698,1.47041125,0.05,0.075,0,0.025,3,0,0.25,?
Bruno Miguel Borges Fernandes,MID,0.435885752,0.265979909,1.47041125,8.45,18.575,35.75,6.275,3,0,2.5,?
Marcus Rashford,MID,0,0,1.47041125,1.65,1.525,3.5,0.675,3,0,1.25,?
Scott McTominay,MID,0.025798055,0.032240115,1.47041125,9.25,0.725,1,1.1,3,0,0.5,?
Juan Mata,MID,0,0,1.47041125,0,0,0,0,3,0,0,?
Jadon Sancho,MID,0.067314284,0.222615376,1.47041125,18.45,19.35,18.75,5.65,3,0,4.25,?
Anthony Elanga,MID,0.168185648,0.113279052,1.47041125,6.3,8.475,14,2.875,3,0,2,?
Hannibal Mejbri,MID,0,0,1.47041125,0,0,0,0,3,0,0,?
Joseph Willock,MID,0.164747527,0.037526673,1.79649475,7.7,3.85,19.5,3.125,7,1,2.25,?
Jonjo Shelvey,MID,0.054518184,0.126005836,1.79649475,10,6.65,2.75,1.95,7,1,1.75,?
Ryan Fraser,MID,0.028915368,0.058015678,1.79649475,6.05,15.725,6.5,2.825,7,1,2,?
Jacob Murphy,MID,0.026259805,0.048779946,1.79649475,6.5,12.925,8.5,2.775,7,1,1,?
Miguel Almirón,MID,0.018500651,0.027180074,1.79649475,4.4,7.55,4.25,1.625,7,1,1.75,?
Sean Longstaff,MID,0.02086743,0,1.79649475,0.4,0.275,0.25,0.075,7,1,0.75,?
Billy Gilmour,MID,0.051493938,0.037458188,2.46299,6.05,11.525,7.25,2.475,1,1,1.5,?
Kenny McLean,MID,0.182013977,0.013245891,2.46299,13.5,4.525,26.75,4.475,1,1,3.25,?
Kieran Dowell,MID,0.019742221,0,2.46299,0,0,0,0,1,1,0.25,?
Milot Rashica,MID,0.175925401,0.044757443,2.46299,4.95,15.025,17,3.7,1,1,2,?
Pierre Lees-Melou,MID,0.006891106,0,2.46299,4.3,3.5,3.5,1.125,1,1,2.75,?
Christos Tzolis,MID,0.024826299,0.042942022,2.46299,0.05,0.125,0.5,0.075,1,1,0.25,?
Mathias Normann,MID,0.002723858,0,2.46299,8.05,0.95,1.25,1.025,1,1,1.75,?
Jonathan Rowe,MID,0.029408762,0.042634465,2.46299,6.2,5.55,6.25,1.825,1,1,1.75,?
Theo Walcott,MID,0.023683554,0,1.61675575,0,0,0,0,9,1,0,?
Oriol Romeu Vidal,MID,0.0047902,0.222008143,1.61675575,10.9,19.625,2.25,3.275,9,1,1.5,?
Nathan Redmond,MID,0.010063498,0.071300516,1.61675575,1.8,3.75,2.25,0.775,9,1,0.25,?
Stuart Armstrong,MID,0.226606847,0.036028831,1.61675575,18.45,15.275,24.75,5.875,9,1,3.25,?
James Ward-Prowse,MID,0.068266187,0.132845761,1.61675575,21.55,46.275,8.5,7.65,9,1,4,?
Nathan Tella,MID,0.031558607,0,1.61675575,0,0.075,0,0,9,1,0.25,?
William Smallbone,MID,0.033353981,0.025476146,1.61675575,0.3,0.25,0,0.05,9,1,0.25,?
Ibrahima Diallo,MID,0.004462858,0.011409176,1.61675575,4.4,6.775,2.25,1.35,9,1,0.75,?
Moussa Djenepo,MID,0.004579653,0.005338459,1.61675575,0.1,0.2,1,0.125,9,1,0.25,?
Mohamed Elyounoussi,MID,0.386727799,0.004800563,1.61675575,16.85,5.075,46.5,6.85,9,1,3.75,?
Heung-Min Son,MID,0.523783173,0.334152248,0.8107315,35.65,31.125,35,10.175,5,0,8,?
Lucas Rodrigues Moura da Silva,MID,0,0.087704189,0.8107315,6.4,3.25,0,0.975,5,0,1.75,?
Pierre-Emile Højbjerg,MID,0.057193496,0.155352725,0.8107315,16.55,16.475,6.75,3.975,5,0,2.25,?
Harry Winks,MID,0.004270417,0.004730663,0.8107315,0.8,0.275,0.25,0.125,5,0,0.5,?
Steven Bergwijn,MID,0.107798316,0.020531496,0.8107315,8.8,2.65,5.75,1.725,5,0,2.25,?
Dejan Kulusevski,MID,0.169496156,0.398856996,0.8107315,18.95,33.8,26,7.9,5,0,4.75,?
Rodrigo Bentancur,MID,0.037036204,0.236601701,0.8107315,24.1,18.975,7.25,5.025,5,0,3.25,?
Moussa Sissoko,MID,0.08175949,0.156776671,1.5121025,20.75,26.5,9.5,5.675,3,1,3,?
Dan Gosling,MID,0,0,1.5121025,0,0,0,0,3,1,0,?
Tom Cleverley,MID,0.016802059,0.01998931,1.5121025,4.35,1.05,4.25,0.95,3,1,1.25,?
Ken Sema,MID,0,0,1.5121025,0,0,0,0,3,1,0.25,?
Ismaila Sarr,MID,0.054138786,0.422310239,1.5121025,1,2.825,0.75,0.45,3,1,0.5,?
Imrân Louza,MID,0.067137191,0.032560331,1.5121025,13.35,11.275,10,3.475,3,1,1.75,?
Oghenekaro Peter Etebo,MID,0.006791015,0,1.5121025,0.15,0.075,0,0.025,3,1,0.25,?
Juraj Kucka,MID,0.14519322,0.099527862,1.5121025,11,4.2,13.25,2.85,3,1,2.25,?
Edo Kayembe,MID,0,0,1.5121025,1.35,0.15,0,0.15,3,1,0.25,?
Samuel Kalu,MID,0.021318972,0,1.5121025,1.05,0.35,1.75,0.325,3,1,0.5,?
Mark Noble,MID,0.190292209,0,1.612089,1.3,0.6,0,0.2,4,0,0.5,?
Andriy Yarmolenko,MID,0.082295095,0.003191615,1.612089,10.9,2.85,7.25,2.05,4,0,2,?
Manuel Lanzini,MID,0.131174913,0.00998162,1.612089,7.65,8.025,4,1.975,4,0,1.25,?
Saïd Benrahma,MID,0.127399009,0.277901178,1.612089,24.75,15,20.25,5.975,4,0,5.5,?
Jarrod Bowen,MID,0.265957091,0.055711772,1.612089,10.9,9.125,13,3.3,4,0,3.5,?
Declan Rice,MID,0.007498871,0.022659405,1.612089,14.3,6.45,0,2.075,4,0,2,?
Tomas Soucek,MID,0.037106436,0.117916834,1.612089,15.25,7.375,5,2.775,4,0,2,?
Pablo Fornals,MID,0.242256064,0.134291853,1.612089,15.95,16.3,22.25,5.45,4,0,3.25,?
Nikola Vlasic,MID,0.036238715,0.035869574,1.612089,0.85,2.725,6,0.95,4,0,0.75,?
Alex Kral,MID,0.030804351,0.030272994,1.612089,0,0,0,0,4,0,0,?
Sonny Perkins,MID,0,0,1.612089,0,0,0,0,4,0,0,?
João Filipe Iria Santos Moutinho,MID,0.050489314,0.074567351,1.4073885,14.2,15.2,6.25,3.575,2,0,2.5,?
Leander Dendoncker,MID,0.062307612,0.022354931,1.4073885,6.75,4.875,9.25,2.1,2,0,1.75,?
Daniel Castelo Podence,MID,0.15113541,0.211768694,1.4073885,23.7,25.175,23,7.225,2,0,4.75,?
Pedro Lomba Neto,MID,0.023495953,0.165212887,1.4073885,1.9,5.625,5.5,1.3,2,0,0.25,?
Francisco Machado Mota de Castro Trincão,MID,0.110046011,0.121568836,1.4073885,17.7,7.65,18.25,4.35,2,0,4,?
Luke Cundle,MID,0,0.23902531,1.4073885,0,0,0,0,2,0,0,?
