avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0,0,2.3896925,28.7,0.025,0,2.875,2,1,2,1,no
0,0,1.65069,39.8,0,0,4,10,1,4,1,no
0,0,2.176665,38,0,0,3.8,10,0,3.25,1,no
0,0,1.13353025,25.4,0,0,2.55,4,1,6.5,1,no
0,0,0.791451,17.9,0,0,1.8,8,1,5.5,1,no
0,0,0.85007,15.2,0,0,1.525,2,0,5,1,no
0,0,1.4436175,31.35,0,0,3.125,9,0,4.75,1,no
0,0,2.389625,29.4,0,0,2.95,8,0,2.5,1,no
0,0,1.332683,26.85,0,0,2.7,2,1,3.75,1,no
0,0,1.42980525,24.8,0,0,2.5,8,0,3.75,1,no
0,0,1.53604,23.55,0,0,2.35,2,0,6.75,1,no
0,0.009518425,1.212962,33.15,2.575,0.5,3.6,2,0,3.5,1,no
0,0,1.43449725,16,0,0,1.6,6,1,4.25,1,no
0,0,1.34727025,21.7,0,0,2.2,9,1,3.5,1,no
0,0,1.71643325,41.35,0,0,4.15,3,0,4.25,1,no
0,0,1.1770935,16.85,0,0,1.675,8,0,4.25,1,no
0,0,1.59125425,29.1,0,0,2.9,4,1,3.25,1,no
0,0,1.385411,28.55,0,0,2.85,3,0,3.75,1,no
0,0,0.963006,10.5,0,0,1.05,9,1,3.75,1,no
0,0,1.45676325,16.3,0,0,1.625,10,0,2.25,1,no
0,0,0.686238,13.85,0,0,1.375,10,0,3,1,no
0,0,1.554524,26.15,0,0,2.6,10,1,4,1,no
0,0,0.73999875,15,0,0,1.525,8,0,6.25,1,no
0,0,0.733588175,11.8,0,0,1.175,3,1,3,1,no
0,0,1.231835,22.3,0,0,2.225,2,1,2.5,1,no
0,0.034591727,0.7985215,20.6,2.5,0,2.3,4,1,5,1,no
0,0,0.704102925,11.25,0,0,1.125,5,1,2.75,1,no
0,0.034591727,0.8254295,20.55,2.5,0,2.3,10,1,5,1,no
0,0,2.35093,41.6,0.075,0,4.175,8,1,1.75,1,no
0,0,2.73185,42.2,0,0,4.2,7,1,10,1,no
0,0,1.046791,18.95,0,0,1.875,1,0,2.25,1,no
0,0,1.2867725,15.05,0,0,1.5,1,0,2.75,1,no
0,0,1.642788,19.7,0,0,1.975,9,1,2.75,1,no
0,0,0.64584175,12.55,0,0,1.25,10,0,5.75,1,no
0,0,1.0646325,21.15,0,0,2.1,9,1,3.5,1,no
0,0,1.162227,21.9,0,0,2.2,3,0,4,1,no
0,0,1.08185275,11.7,0,0,1.175,7,0,3,1,no
0,0,1.04075725,10.9,0,0,1.1,10,0,3.75,1,no
0,0,1.390959,18.65,0,0,1.875,8,0,2.5,1,no
0,0,1.14416725,14.7,0,0,1.475,6,1,3.75,1,no
0,0,2.116676,29.35,0,0,2.95,3,1,2.25,1,no
0,0,0.667635,18.45,0,0,1.85,10,0,4.75,1,no
0,0,1.3951055,23.4,0,0,2.325,1,0,4,1,no
