avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.21081268,0.014412376,0.70831725,13.85,8.225,30.75,5.3,3,1,3,1,no
0.195183318,0.029703677,1.12760925,11.35,13.225,21.75,4.575,5,1,3.5,1,no
0.016424574,0,1.247491667,1.333333333,0.766666667,7.666666667,0.933333333,2,1,1,1,no
0.061841009,0.008421469,1.34628925,2.1,4,18.25,2.35,5,0,1,1,no
0.846842121,0.154773962,0.856222,42.1,15.625,57.75,11.55,9,0,7.5,1,no
0.139431756,0.009440586,1.4994075,11.35,10.6,18,3.9,3,0,3.25,1,no
0.242149368,0,0.62576875,8,1.55,11.25,2.05,3,0,2.25,1,no
0.051830852,0.009273482,1.3972675,1.25,3.275,12.75,1.625,5,0,1.25,1,no
0,0,0.672883,0,1.5,0,0.2,10,0,1,1,no
0.104100324,0.030087585,2.00321,0,5.95,8,1.2,6,0,1,1,no
0.574620984,0.026967221,0.677021,10.3,12.85,69.75,9.3,6,0,3,1,no
0.044851296,0.008421469,0.97648675,2.15,3.45,13.75,1.925,4,1,1,1,no
0.212838024,0.034725248,1.5124565,12.25,12.825,20.25,4.5,2,1,3.25,1,no
0,0,0.9493065,0.1,2.75,0,0.3,3,1,1,1,no
0.04391288,0.15558885,0.695531,6.05,6.625,13,2.55,4,1,1.75,1,no
0.257912367,0.013800605,0.70292175,17.4,6.55,27,4.975,2,0,4.25,1,no
0.039371662,0,1.180815,2.1,0.4,11,1.35,6,1,1,1,no
0.007069878,0,0.944154667,2.066666667,2.266666667,3,0.733333333,2,0,1,1,no
0.074522372,0.02005839,1.87294,1,4.066666667,8.333333333,1.2,5,1,1,1,no
0.221420115,0.153153649,0.88276075,21.4,13.825,36,7.125,1,0,4.75,1,no
0.020751908,0.165399568,1.24928325,8.35,10.6,5.5,2.425,9,0,2.75,1,no
0.199250171,0.029733588,1.1633565,11.9,8.1,15.5,3.5,5,0,3.25,1,no
0.331588669,0.057170458,1.16706025,16.05,9.475,32,5.775,10,0,3.75,1,no
0.033331235,0,1.205161,1.55,1.975,7.75,1.05,6,0,1,1,no
0.137783475,0.035532527,1.71916225,13.5,7.55,21.5,4.275,6,0,2.75,1,no
0.226294741,0.02766584,0.81921525,18.4,9.325,26,5.3,10,0,3.5,1,no
0.191330981,0.153153649,1.002045,20.2,12.225,28.75,6.125,2,0,4.25,1,no
0.020751908,0.165399568,1.41647575,8.55,10.525,5.5,2.425,10,0,2.75,1,no
0,0,0.651223,0,1.875,0,0.15,3,1,1,1,no
0.192092165,0.006765985,1.8768225,0.85,4.625,12.5,1.7,8,1,1.75,1,no
0.025881844,0.034855035,1.808749333,2.666666667,10.13333333,12.33333333,2.533333333,5,0,1,1,no
0.107511857,0.013865234,1.04002375,10.45,4.775,19.5,3.4,1,1,2,1,no
0.317646242,0.016824558,1.09744925,9.1,4.925,22.75,3.525,10,1,2.75,1,no
0.269332886,0.025284663,1.4300115,12.4,4.35,15.5,3.2,4,1,3,1,no
0.021556033,0,0.6525595,0,1.65,1.5,0.275,4,1,1,1,no
0.107594129,0,1.92363475,12.75,1.625,14,2.8,9,1,2.5,1,no
0.11097251,0.013865234,1.15841625,11.5,4.95,17.5,3.4,6,1,2,1,no
0.327985124,0.045827266,1.48825875,12,13.725,34,5.825,4,1,2.5,1,no
0.175553128,0,0.5730465,10.6,0.825,8.75,2,8,0,2.5,1,no
0.142592495,0.008741172,1.387206,9.45,5.575,14,2.775,2,0,2.75,1,no
0.089826346,0.041247737,1.503905,16.65,8.475,32,5.75,4,1,4,1,no
0.419868562,0.155349175,2.5702325,23.25,17.8,47.5,8.75,8,0,5.5,1,no
0.019411383,0.026141277,1.9765045,2,8.175,9.25,1.95,10,1,1,1,no
0,0,1.6566555,1.4,0.35,1,0.275,2,0,1,1,no
0.339870589,0.045827266,1.38385375,12,13.575,31.5,5.6,1,0,3,1,no
0.316448234,0.024249291,1.63145875,11.35,10.8,21.5,4.35,4,0,3,1,no
0.146995718,0.02633355,1.21227625,11.1,11.725,20.25,4.2,7,1,2.75,1,no
0.249101885,0.206946051,1.46434725,50.85,13.425,34.75,9.925,2,1,9,1,no
0.167768255,0.15558885,0.71562325,6.05,7.125,15,2.775,2,1,1.75,1,no
0.055891779,0.018604746,1.7179925,1.25,5.625,6.25,1.2,10,1,1,1,no
0.282225121,0.150840769,2.8070925,23.4,15.1,40.75,7.925,3,1,5.25,1,no
0.061364278,0,1.63145875,11.3,1.7,17,2.925,4,0,2.25,1,no
0,0,2.060455,1.4,0.35,1,0.275,3,1,1,1,no
0.163237698,0.035416873,0.8960585,11.2,10.875,21.75,4.3,9,1,2.5,1,no
0.065797905,0.013900625,1.70708,11.75,4.475,26.5,4.3,9,1,3.25,1,no
0.01609312,0.174147263,1.296574,6.75,7.575,13.5,2.775,2,0,2.25,1,no
0.167768255,0,0.47754925,0.8,2.975,15,1.825,7,0,1,1,no
0.027162113,0.007100467,1.8141275,1.75,5.3,5.25,1.15,10,0,1,1,no
0.422622222,0.110120311,1.8005625,2.7,5.9,31.75,3.9,9,1,1.5,1,no
0.255747855,0.024249291,1.49529125,3,10.8,17.75,3.15,5,1,1.75,1,no
0.175553128,0,0.738899,10.9,0.825,8.25,2,5,0,2.5,1,no
0.055238289,0.013900625,1.98173,11.7,3.975,22.5,3.825,10,0,3.25,1,no
0.003841617,0.007100467,1.9181725,1.8,5.3,3.75,1.075,1,1,1,1,no
0.096509833,0.024093736,1.39613625,9.15,6.5,23.5,3.9,5,1,2.25,1,no
0.413947303,0.110120311,2.1381775,2.65,5.05,28.5,3.475,10,0,1.5,1,no
0.250267915,0.281366759,0.733953,18.75,19.875,31.75,7.025,3,1,5,1,no
0.646396723,0.069071815,0.70259125,29.45,13.125,75.25,11.775,3,1,5.5,1,no
0.143703282,0.015474718,1.114742,2.15,4.625,15.5,2.225,10,0,1.5,1,no
0.175553128,0,0.8741495,11.15,0.85,8.25,2.025,10,1,2.5,1,no
0.041128747,0.013900625,1.994825,2.95,3.75,19,2.575,2,1,1.5,1,no
0.162011132,0.007100467,1.5668725,1.05,5.3,4.5,1.05,1,0,1,1,no
0.106254384,0.024093736,1.194877,9.15,6.225,23.25,3.85,10,0,2.25,1,no
0.35358718,0.110120311,1.98336,2.9,4.8,22.75,2.9,2,1,1.5,1,no
0.017092584,0,1.196839,0.8,0.925,7.5,0.875,3,0,1.25,1,no
0.264596835,0.051159252,1.758905,19.1,15.925,18.25,5.325,2,1,3.75,1,no
0,0,1.59716625,0.05,0.225,1,0.125,8,1,1,1,no
0.123855375,0,0.47120975,0.3,2.55,3,0.55,4,1,1,1,no
0.100803617,0.028432579,1.98400575,2.55,9.2,19.75,3.125,8,1,1.25,1,no
0,0.003259577,1.50441375,2,3.1,2.5,0.725,9,0,1,1,no
0.100929677,0.003259577,1.66883125,2,3.975,3,0.75,8,1,1.25,1,no
