avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0,0,1.32934125,20.45,0.375,0.5,2.15,5,1,3.5,0,no
0,0.035669399,0.74605075,24.2,13.925,1,3.925,8,0,4.5,0,no
0.009660727,0,0.695531,27.4,1.8,5.5,3.475,10,1,2.25,0,no
0,0,0.88519325,18.15,0.35,2.5,2.1,7,0,4.75,0,no
0.022422455,0.18946495,1.19452625,13.75,24.625,5.25,4.35,9,1,2.75,0,no
0.029011504,0.026152199,1.4412785,14.2,14.425,6.5,3.525,8,1,2.25,0,no
0.200876354,0,1.31254025,9.2,1.375,3,1.35,1,1,2.5,0,no
0.076316681,0.036619735,1.302465,12.95,18.725,5.5,3.725,1,1,2,0,no
0.189396727,0.011948832,1.31254025,26.9,2.85,29.75,5.95,1,1,4.75,0,no
0.029051895,0.008910095,1.066216,23,5.525,15.75,4.425,10,0,3.5,0,no
0.011976088,0.022428066,1.7637215,11.45,11.475,4.75,2.775,3,0,0.75,0,no
0.042065093,0,0.856222,19.8,0.675,11.5,3.175,9,0,5.5,0,no
0.111474514,0.015541862,1.16627425,19.2,13.6,3.5,3.625,10,0,4.5,0,no
0.028380464,0.212288403,1.27353175,12,16.225,7.5,3.575,10,0,1,0,no
0.046504417,0.019049492,1.20732925,15.85,2.75,6.25,2.475,3,0,2.75,0,no
0.040200036,0.144595665,0.70292175,24.55,32.025,6.5,6.3,2,0,5.25,0,no
0.005446037,0.019049492,1.3747805,21.8,2.75,4.25,2.875,9,0,1.25,0,no
0.039849484,0.003732872,1.2257225,33.15,3.3,9.75,4.65,7,0,4.25,0,no
0.003568413,0.05697157,1.712647,16.7,22.175,2.5,4.15,7,0,1.5,0,no
0,0.170362763,0.9179225,14.45,8.775,1.5,2.475,10,1,5.5,0,no
0.082099853,0.011725644,1.712647,30.5,5.05,22.5,5.825,7,0,2,0,no
0.023157946,0,1.28898025,17.95,1.4,5.5,2.525,5,0,1,0,no
0.006378568,0,1.41897375,2.4,0.6,2.5,0.5,10,0,1,0,no
0.040229764,0.021888139,1.25875625,31.35,2.925,10.25,4.45,10,0,4,0,no
0.017584761,0.011141605,0.6472935,21.9,3.35,8,3.325,4,1,2.75,0,no
0.160148934,0.004045746,0.4668245,24.05,4.625,12.25,4.1,4,1,4.5,0,no
0,0.021888139,1.52575875,30.25,2.975,6,3.925,10,1,2,0,no
0,0,1.33304025,7.15,1.825,1,1,8,1,2.25,0,no
0.048024669,0.125084095,1.63145875,28.55,7.875,7.5,4.4,4,0,4.75,0,no
0.039038665,0.154546588,1.8005625,20.15,21.025,5.5,4.65,9,1,4.25,0,no
0.016399148,0.01363921,1.101068,17.85,6.9,9,3.375,8,0,2.5,0,no
0.031977612,0.13530229,1.13929375,24.7,3.25,14.25,4.225,6,0,4.75,0,no
0.030036458,0.012359198,1.47360325,27.4,2.85,13.5,4.375,8,1,3.75,0,no
0.013528102,0.144320581,1.60595025,32.85,17.875,3.75,5.425,6,0,5.25,0,no
0.037000481,0.202203932,2.1381775,24.65,5.625,2.25,3.25,10,0,5.75,0,no
0,0.019025047,1.47360325,20.65,13.25,0,3.4,8,1,3.5,0,no
