Understat_ID, FPL_ID, Understat_Name, FPL_Name,
9833,331,Andrew Omobamidele,Andrew Omobamidele,
503,332,Theo Walcott,Theo Walcott,
831,333,,,
635,334,Alex McCarthy,Alex McCarthy,
842,335,Oriol Romeu,Oriol Romeu Vidal,
790,336,Nathan Redmond,Nathan Redmond,
986,337,Danny Ings,Danny Ings,
1735,338,Jack Stephens,Jack Stephens,
6893,339,,,
111,340,Jannik Vestergaard,Jannik Vestergaard,
843,341,James Ward-Prowse,James Ward-Prowse,
885,342,Kyle Walker-Peters,Kyle Walker-Peters,
6042,343,Jan Bednarek,Jan Bednarek,
7983,344,,,
7700,345,Che Adams,Che Adams,
8456,346,Nathan Tella,Nathan Tella,
8224,347,,,
6504,348,,,
6736,349,Ibrahima Diallo,Ibrahima Diallo,
7701,350,Moussa Djenepo,Moussa Djenepo,
6923,351,Mohammed Salisu,Mohammed Salisu,
609,352,,,
637,353,Hugo Lloris,Hugo Lloris,
772,354,Moussa Sissoko,Moussa Sissoko,
639,355,,,
644,356,,,
647,357,Harry Kane,Harry Kane,
3600,358,,,
453,359,Son Heung-Min, Heung-Min Son,
6852,360,Matt Doherty,Matt Doherty,
643,361,Eric Dier,Eric Dier,
3293,362,Lucas Moura,Lucas Rodrigues Moura da Silva,
645,363,Dele Alli,Bamidele Alli,
660,364,Ben Davies,Ben Davies,
343,365,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,
971,366,Harry Winks,Harry Winks,
6249,367,Davinson Sánchez,Davinson Sánchez,
6837,368,,,
8300,369,Steven Bergwijn,Steven Bergwijn,
7187,370,Sergio Reguilón,Sergio Reguilón,
8222,371,Japhet Tanganga,Japhet Tanganga,
5681,372,Giovani Lo Celso,Giovani Lo Celso,
7198,373,Oliver Skipp,Oliver Skipp,
6377,374,Joe Rodon,Joe Rodon,
5962,375,Tanguy NDombele Alvaro,Tanguy Ndombele,
803,376,Ben Foster,Ben Foster,
641,377,Danny Rose,Danny Rose,
462,378,Dan Gosling,Dan Gosling,
581,379,Craig Cathcart,Craig Cathcart,
574,380,Troy Deeney,Troy Deeney,
596,381,Tom Cleverley,Tom Cleverley,
5043,382,Kiko Femenía,Francisco Femenía Far,
1660,383,,,
1725,384,Christian Kabasele,Christian Kabasele,
1677,385,,,
6104,386,,,
6996,387,William Troost-Ekong,William Troost-Ekong,
1154,388,,,
1025,389,Daniel Bachmann,Daniel Bachmann,
1441,390,Adam Masina,Adam Masina,
6841,391,Ken Sema,Ken Sema,
1724,393,,,
1675,395,,,
7081,396,Francisco Sierralta,Francisco Sierralta,
5573,397,,,
5085,398,,,
5675,399,Ismaila Sarr,Ismaila Sarr,
8235,400,Jeremy Ngakia,Jeremy Ngakia,
7216,401,,,
7278,403,Imran Louza,Imrân Louza,
8272,404,João Pedro,João Pedro Junqueira de Jesus,
533,406,Mark Noble,Mark Noble,
540,407,,,
706,408,Lukasz Fabianski,Lukasz Fabianski,
528,409,Angelo Ogbonna,Angelo Ogbonna,
529,410,,,
534,411,Aaron Cresswell,Aaron Cresswell,
6274,412,Andriy Yarmolenko,Andriy Yarmolenko,
531,413,Michail Antonio,Michail Antonio,
804,414,Craig Dawson,Craig Dawson,
6891,415,Ryan Fredericks,Ryan Fredericks,
535,416,Manuel Lanzini,Manuel Lanzini,
1760,417,,,
8965,418,Vladimir Coufal,Vladimir Coufal,
3585,419,Said Benrahma,Saïd Benrahma,
1776,420,Jarrod Bowen,Jarrod Bowen,
5553,421,Declan Rice,Declan Rice,
8288,422,Tomas Soucek,Tomas Soucek,
2335,423,Pablo Fornals,Pablo Fornals,
3203,424,,,
6424,425,Ben Johnson,Ben Johnson,
3422,426,João Moutinho,João Filipe Iria Santos Moutinho,
6849,427,,,
6850,428,,,
6851,429,Conor Coady,Conor Coady,
4105,430,Raúl Jiménez,Raúl Jiménez,
3491,431,Romain Saiss,Romain Saïss,
5708,432,Fernando Marçal,Fernando Marçal,
2280,433,,,
7236,434,Leander Dendoncker,Leander Dendoncker,
900,435,Adama Traoré,Adama Traoré,
6853,436,Rúben Neves,Rúben Diogo da Silva Neves,
6163,437,Nélson Semedo,Nélson Cabral Semedo,
8291,438,Daniel Podence,Daniel Castelo Podence,
7332,439,Max Kilman,Max Kilman,
6857,440,Morgan Gibbs-White,Morgan Gibbs-White,
6382,441,,,
8180,442,,,
8351,443,Ki-Jana Hoever,Ki-Jana Hoever,
8778,445,Fabio Silva,Fabio Silva,
501,447,Danny Welbeck,Danny Welbeck,
5544,448,,,
6523,449,Milot Rashica,Milot Rashica,
9301,450,Emmanuel Dennis,Emmanuel Dennis,
