name,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form
Fabio Henrique Tavares,0.7540350258350372,0.023492081090807915,0.9271425,39.800000000000004,14.049999999999999,33.75,8.775,2,1,8.0
Mohamed Salah,0.8669832851737738,0.15079757058992982,0.9271425,4.3,6.975,23.75,3.5,2,1,1.0
Andrew Robertson,0.03818531543947756,0.2179093426093459,0.9271425,27.5,39.675000000000004,14.25,8.15,2,1,9.0
Divock Origi,0.2659388507405917,0.0,0.9271425,0.0,0.0,0.0,0.0,2,1,0.0
Takumi Minamino,0.1610434502363205,0.12278028577566147,0.9271425,9.450000000000001,3.625,6.75,2.0,2,1,2.0
Trent Alexander-Arnold,0.07387906918302178,0.2771452013403177,0.9271425,17.65,34.625,17.25,6.975,2,1,6.0
Joseph Gomez,0.0,0.0,0.9271425,0.8,0.0,0.0,0.075,2,1,0.25
Naby Keita,0.054159244522452354,0.02883050311356783,0.9271425,4.8,1.625,1.75,0.825,2,1,0.75
Caoimhin Kelleher,0.0,0.0,0.9271425,0.0,0.0,0.0,0.0,2,1,0.0
Ibrahima Konaté,0.017796307802200317,0.0,0.9271425,0.0,0.0,0.0,0.0,2,1,0.0
Curtis Jones,0.020288129104301333,0.03799632377922535,0.9271425,8.2,11.95,6.5,2.675,2,1,1.5
Konstantinos Tsimikas,0.005971380043774843,0.11832254286855459,0.9271425,0.0,0.0,0.0,0.0,2,1,0.0
Harvey Elliott,0.12020520120859146,0.10722877085208893,0.9271425,1.85,3.325,0.5,0.575,2,1,0.25
Tyler Morton,0.0,0.0,0.9271425,0.0,0.0,0.0,0.0,2,1,0.0
Kaide Gordon,0.4911211431026459,0.0,0.9271425,1.0,0.15,2.25,0.35,2,1,0.25
Conor Bradley,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Owen Beck,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Marcelo de Araújo Pitaluga Filho,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Jarell Quansah,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Luis Díaz,0.44538402557373047,0.014952416531741619,0.9271425,5.6,8.75,25.0,3.95,2,1,1.5
Kyle Walker,0.01546354778110981,0.05117581877857447,0.60850925,14.2,13.925,7.5,3.575,7,1,4.5
Ilkay Gündogan,0.07112562656402588,0.19659917056560516,0.60850925,4.4,8.275,8.0,2.05,7,1,1.25
Kevin De Bruyne,0.09898551367223263,0.286843728274107,0.60850925,33.2,30.325,23.75,8.75,7,1,7.5
John Stones,0.19946692883968353,0.0,0.60850925,7.5,2.95,4.75,1.525,7,1,3.25
Riyad Mahrez,0.710540160536766,0.09270553477108479,0.60850925,11.3,11.85,13.5,3.675,7,1,3.25
Raheem Sterling,0.877553902566433,0.09130710549652576,0.60850925,31.75,19.200000000000003,52.25,10.3,7,1,7.75
