name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Lukas Rupp,MID,0.029774619,0.051003762,2.639405,1.3,1.075,0.25,0.275,6,0,0.75,?
Kenny McLean,MID,0.190388089,0.01402299,2.639405,13.9,4.75,24,4.275,6,0,3.25,?
Kieran Dowell,MID,0.019742221,0,2.639405,0.1,0,0,0,6,0,0.25,?
Przemyslaw Placheta,MID,0.003668891,0,2.639405,0,0,0,0,6,0,0,?
Milot Rashica,MID,0.080075998,0.048763039,2.639405,6.3,17.55,10.5,3.45,6,0,1.75,?
Pierre Lees-Melou,MID,0.006891106,0.028132873,2.639405,5.6,7.2,3.5,1.625,6,0,2.25,?
Christos Tzolis,MID,0.024826299,0.042942022,2.639405,0,0,0,0,6,0,0,?
Mathias Normann,MID,0.014665029,0,2.639405,3.75,0.975,3.5,0.825,6,0,1.5,?
Jonathan Rowe,MID,0.029408762,0.042634465,2.639405,6.2,5.55,4.75,1.675,6,0,1.5,?
Theo Walcott,MID,0.023683554,0,1.3461875,0,0,0,0,3,0,0,?
Oriol Romeu Vidal,MID,0.012570106,0.048664308,1.3461875,20.3,15.25,5.5,4.1,3,0,3.5,?
Nathan Redmond,MID,0.010063498,0.071300516,1.3461875,1.8,3.75,2.25,0.775,3,0,0.25,?
Stuart Armstrong,MID,0.310841256,0.134398564,1.3461875,18.2,24.625,39.75,8.275,3,0,3.75,?
James Ward-Prowse,MID,0.062751891,0.235825207,1.3461875,16.1,53.2,5.25,7.475,3,0,2.25,?
Nathan Tella,MID,0.050697215,0.018001443,1.3461875,0,0,0,0,3,0,0,?
William Smallbone,MID,0.033353981,0.025476146,1.3461875,0.3,0.25,0,0.05,3,0,0.25,?
Ibrahima Diallo,MID,0.009126606,0.011409176,1.3461875,1.1,5.3,0,0.65,3,0,0.25,?
Moussa Djenepo,MID,0.004579653,0.005338459,1.3461875,0.1,0.2,1,0.125,3,0,0.5,?
Mohamed Elyounoussi,MID,0.329799745,0.025188186,1.3461875,17.8,9.825,44.75,7.25,3,0,4.25,?
Heung-Min Son,MID,0.471782591,0.219814669,0.72825925,32.2,21,32,8.525,2,1,6.75,?
Lucas Rodrigues Moura da Silva,MID,0.011979038,0,0.72825925,1.2,0.375,0,0.175,2,1,0.75,?
Pierre-Emile Højbjerg,MID,0.028645444,0.148692984,0.72825925,20.25,16.2,5.5,4.175,2,1,2.5,?
Harry Winks,MID,0.007884931,0.004730663,0.72825925,0,0.025,0,0,2,1,0.25,?
Steven Bergwijn,MID,0.12340229,0.020531496,0.72825925,1.55,3.025,6.25,1.1,2,1,1,?
Dejan Kulusevski,MID,0.190868255,0.523601992,0.72825925,20.45,29.875,29.75,8.025,2,1,5.75,?
Rodrigo Bentancur,MID,0.031505645,0.229110718,0.72825925,20.9,16.4,5.75,4.3,2,1,3.75,?
Moussa Sissoko,MID,0.08175949,0.159351707,1.5566175,25.3,27.25,10,6.25,10,0,3.25,?
Dan Gosling,MID,0,0,1.5566175,0,0,0,0,10,0,0,?
Tom Cleverley,MID,0.016802059,0.029452674,1.5566175,5.05,6.075,4.25,1.525,10,0,1.75,?
Ken Sema,MID,0,0,1.5566175,2.95,0.325,0,0.325,10,0,0.5,?
Ismaila Sarr,MID,0.053586701,0.33241131,1.5566175,1.95,5.675,4.75,1.25,10,0,0.75,?
Imrân Louza,MID,0.070610931,0.038621818,1.5566175,11.75,10.525,11.25,3.375,10,0,2,?
Oghenekaro Peter Etebo,MID,0.006791015,0,1.5566175,0.15,0.075,0,0.025,10,0,0.25,?
Juraj Kucka,MID,0.108348476,0.099527862,1.5566175,11.15,3.85,9.25,2.425,10,0,2,?
Edo Kayembe,MID,0,0,1.5566175,1.35,0.15,0,0.15,10,0,0.25,?
Samuel Kalu,MID,0.021318972,0,1.5566175,1.05,0.35,1.75,0.325,10,0,0.5,?
Mark Noble,MID,0.380584419,0,1.670632,0.25,0.15,0,0.05,3,1,0.25,?
Andriy Yarmolenko,MID,0.104823551,0.003191615,1.670632,10.9,2.85,6.75,2,3,1,1.75,?
Manuel Lanzini,MID,0.131174913,0.00998162,1.670632,9.55,9.825,8,2.75,3,1,2,?
Saïd Benrahma,MID,0.11366345,0.207796419,1.670632,22.55,10.625,15.75,4.875,3,1,5,?
Declan Rice,MID,0.007498871,0.030581644,1.670632,13.75,5.425,0.5,1.975,3,1,1.75,?
Tomas Soucek,MID,0.225278195,0.163790938,1.670632,23.1,12.225,15,5.05,3,1,4.25,?
Pablo Fornals,MID,0.217956882,0.154989767,1.670632,19.4,20.15,16.5,5.6,3,1,3.5,?
Nikola Vlasic,MID,0.036238715,0.035869574,1.670632,0.85,2.725,6,0.95,3,1,1,?
Alex Kral,MID,0.030804351,0.030272994,1.670632,0,0,0,0,3,1,0,?
Sonny Perkins,MID,0,0,1.670632,0,0,0,0,3,1,0,?
João Filipe Iria Santos Moutinho,MID,0.005935989,0.061425706,1.563646,15,19.025,1.75,3.575,5,1,2.5,?
Leander Dendoncker,MID,0.033516625,0.022354931,1.563646,4.3,4.15,7.75,1.625,5,1,1.25,?
Daniel Castelo Podence,MID,0.12805231,0.2526494,1.563646,22.8,26.475,30.5,8,5,1,4.5,?
Francisco Machado Mota de Castro Trincão,MID,0.075562947,0.121568836,1.563646,16.55,7.175,13,3.65,5,1,3.25,?
Luke Cundle,MID,0,0.23902531,1.563646,0,0,0,0,5,1,0,?
